⁉️|!?|?|exclamation|interrogation|point d’exclamation et d’interrogation|points d’exclamation et d’interrogation|ponctuation|question|surprise
ℹ️|guichet d’informations|informations|source d’informations
↔️|flèche gauche droite|à droite et à gauche|à gauche et à droite|droite gauche|flèche pointant à gauche et à droite|gauche droite
↕️|flèche dans les deux sens|flèche haut bas|bas haut|en bas et en haut|en haut et en bas|flèche pointant vers le haut et vers le bas|haut bas
↖️|direction|flèche haut gauche|nord-ouest|sens|en haut à gauche|flèche pointant vers le haut à gauche|point intercardinal
↗️|direction|flèche haut droite|nord-est|sens|en haut à droite|flèche pointant vers le haut à droite|point intercardinal
↘️|direction|flèche bas droite|sens|sud-est|en bas à droite|flèche pointant vers le bas à droite|lèche|point intercardinal
↙️|direction|flèche bas gauche|sens|sud-ouest|en bas à gauche|point intercardinal
⌨️|clavier|informatique|ordinateur
☀️|beau temps|brillant|espace|grand soleil|météo|rayons|soleil
☁️|gris|météo|nuage
☂️|parapluie ouvert|pluie|vêtement
☃️|bonhomme de neige avec flocons|flocons|neige|froid
☄️|comète|espace|météore
☑️|✓|bouton|carré|case cochée|coche|ok|oui|sélection|terminé|voilà
☔|gouttes|météo|parapluie avec gouttes de pluie|pluie
☕|boisson chaude|caféine|matin|thé
☘️|irlande|plante|trèfle|trois feuilles
☠️|crâne|mort|os|tête de mort
☢️|radioactif|radioactivité|symbole
☣️|danger biologique|symbole|biologique
☦️|chrétienne|croix orthodoxe|religion|orthodoxe|réligion
☸️|bouddhisme|bouddhiste|dharma|religion|roue de dharma|roue du dharma
☹️|émoticône|malheureux|mécontent|triste|visage
♈|astrologie|bélier|horoscope|zodiaque
♉|astrologie|horoscope|taureau|zodiaque
♐|astrologie|horoscope|sagittaire|zodiaque
♑|astrologie|capricorne|chèvre|horoscope|zodiaque
♒|astrologie|eau|horoscope|verseau|zodiaque
♓|astrologie|horoscope|poissons|zodiaque
♠️|carte|couleur|jeu|pique
♣️|cartes à jouer|couleur|jeu|noir|trèfle cartes
♥️|cartes à jouer|cœur cartes|couleur|jeu|rouge
♦️|carreaux|carte|couleur|jeu
♨️|chaud|sources chaudes|vapeur|thermale
⚒️|burin|marteau et burin|marteau et pioche|outils|pioche|marteau et pic|pic
⚓|ancre|bateau|outil|voyage
⚔️|armes|croisées|épées
⚖️|astrologie|balance à poids|horoscope|justice|poids|zodiaque
⚗️|alambic|chimie|outil
⚙️|engrenage|outil|roue dentée
✂️|ciseaux|couper|découper|fournitures|papier
✅|✓|bouton coché|carré|coche blanche|marque|ok|oui|sélection|terminé|voilà
✈️|avion en vol|jet|moyen de transport|véhicule|vol|voyage
✉️|courrier électronique|e-mail|enveloppe|lettre|message|courriel
✒️|écrire|stylo plume noir|plume noire
✔️|✓|coche noire|ok|oui|sélection|terminé|voilà|marque
✖️|*|×|annuler|croix noire|multiplication|multiplier|non|signe multiplier|x|signe de multiplication
✡️|david|étoile de david|judaïsme|juif|juive|religion
✨|*|étincelles|étoiles|magie|nuit étoilée|scintiller
✳️|*|astérique huit branches|astérisque huit branches|étoile|astérique à huit branches|huit branches
✴️|*|astérisque|étoile huit branches|étoile à huit branches|huit branches
❄️|flocon de neige|froid|météo|neige
❇️|*|briller|éclat|étinceler|étincelle|scintiller
❓|?|interrogation|point d’interrogation rouge|ponctuation|question
❔|?|interrogation|point d’interrogation blanc|ponctuation|question
❕|!|exclamation|point d’exclamation blanc|ponctuation|surprise|question
❗|!|exclamation|point d’exclamation rouge|ponctuation
❣️|amour|cœur point d’exclamation|exclamation|ponctuation|point
❤️|amour|cœur rouge|sentiment|rouge
➕|+|addition|ajouter|arithmétique|mathématiques|plus|signe plus|somme|signe d’addition
➖|-|−|arithmétique|mathématiques|moins|signe moins|soustraction|soustraire|signe de soustraction
➗|÷|algèbre|diviser|division|mathématiques|/|arithmétique|signe de division
⤴️|flèche courbe haut|flèche courbe vers la droite et le haut|courbe vers le haut|flèche courbe vers le haut
⤵️|bas|flèche courbe bas|courbe vers le bas|flèche courbe vers le bas
〰️|ligne ondulée|ponctuation|tiret|trait d’union ondulé|vague
㊗️|bouton félicitations en japonais|félicitations|idéogramme|japonais|symbole japonais signifiant « félicitations »
㊙️|bouton secret en japonais|idéogramme|japonais|secret|symbole japonais signifiant « secret »
😀|content|dents|émoticône|grand sourire|heureux|joyeux|rire|sourire|super|visage rieur|visage très souriant|large sourire|visage avec large sourire
😃|content|dents|émoticône|formidable|grand sourire|heureux|sourire|super|visage souriant avec de grands yeux|visage très souriant avec la bouche ouverte|bouche ouverte|visage souriant les yeux grands ouverts
😄|content|émoticône|grand sourire|heureux|joyeux|lol|mdr|rire|sourire mignon|visage avec la bouche ouverte et les yeux souriants|visage très souriant aux yeux rieurs|bouche ouverte|œil|visage avec large sourire et yeux rieurs
😁|content|dents|émoticône|grand sourire|heureux|sourire de toutes ses dents|super|visage souriant aux yeux rieurs|visage souriant avec yeux souriants|yeux souriants|large sourire|œil|visage radieux et yeux rieurs
😆|ahah|bouche|content|émoticône|lol|mdr|rire|sourire|visage souriant avec bouche ouverte et yeux fermés|visage souriant avec yeux plissés|haha|heureux
😅|émoticône|excité|froid|goutte|sourire nerveux|stressé|sueurs froides|visage souriant avec une goutte de sueur|nerveux
